0000037c,0000002d,000ffffc,62
01000930,00000001,000ffffe,299
0100095c,00000002,000ffffe,441
01000850,00000003,000ffffd,513
010007d8,00000002,000ffffe,548
01000930,00000001,000ffffe,805
01000884,00000002,000ffffe,1207
0100096c,0000000f,00080245,1421
010009c0,00000002,000ffffd,1509
010007d8,00000002,000ffffe,1560
0100091c,00000002,000ffffe,1586
01000980,00000002,000ffffe,1871
010009bc,00000002,000ffffe,2014
010008d4,00000003,000ffffd,2087
01000820,00000003,000ffffe,2395
01000a98,00000004,000ffffd,2790
01000a44,00000013,00080245,3274
01000aa0,00000002,000ffffe,3492
01000ad4,00000002,000ffffe,3610
01000914,00000005,000ffffd,3912
010009a4,00000002,000ffffe,4059
0100089c,00000004,000ffffd,4408
01000820,00000003,000ffffe,4581
01000858,00000004,000ffffe,4909
010009a4,00000002,000ffffe,5071
010009a4,00000002,000ffffe,5393
01000850,00000003,000ffffd,5827
010007b0,00000002,000ffffd,6043
0100087c,0000002e,000005f1,6196
010008f0,00000002,000ffffd,6207
01000814,00000003,000ffffd,6236
01000884,00000002,000ffffe,6521
01000a18,00000002,000ffffe,6936
01000af0,00000001,000ffffe,7143
01000ad4,00000002,000ffffe,7520
010009b0,00000023,0008034b,7981
0100096c,0000000f,0008024c,8415
01000914,00000005,000ffffd,8904
010007d0,00000004,000ffffd,9153
010009c8,00000002,000ffffe,9516
010009c0,00000002,000ffffd,9699
010009c0,00000002,000ffffd,9791
010009a4,00000002,000ffffe,10109
01000a48,00000002,000ffffe,10508
01000ad4,00000002,000ffffe,10708
01000a6c,00000002,000ffffe,11080
01000954,00000004,000ffffd,11508
010008f0,00000002,000ffffd,11959
010008d4,00000003,000ffffd,12187
010009c8,00000002,000ffffe,12300
010008a4,00000002,000ffffe,12597
01000930,00000001,000ffffe,12745
01000858,00000004,000ffffe,12823
010007f4,00000002,000ffffd,12859
0100096c,0000000f,00080251,13131
010008fc,00000002,000ffffe,13248
010009b4,00000001,000ffffe,13584
010008fc,00000002,000ffffe,13754
010008a4,00000002,000ffffe,13839
01000998,00000005,000ffffd,13907
0100087c,0000002e,000005f1,13926
01000a30,00000004,000ffffd,14189
01000aa0,00000002,000ffffe,14329
01000aac,00000013,00080350,14689
01000ab0,00000002,000ffffe,14844
01000ae0,0000000b,00080153,15179
01000858,00000004,000ffffe,15607
010007d0,00000004,000ffffd,15825
01000868,00000006,0008008f,16208
010008bc,00000002,000ffffe,16395
010008f0,00000002,000ffffd,16491
010008dc,00000003,000ffffe,16812
0100082c,00000019,00080255,17234
010008bc,00000002,000ffffe,17683
01000a18,00000002,000ffffe,18191
01000a18,00000002,000ffffe,18685
01000868,00000006,0008004b,19176
0100091c,00000002,000ffffe,19416
010008d4,00000003,000ffffd,19779
0100092c,0000000b,00080358,20208
01000830,00000002,000ffffd,20410
010009b4,00000001,000ffffe,20808
010007ec,00000002,000ffffe,20956
01000954,00000004,000ffffd,21032
010008a4,00000002,000ffffe,21339
01000978,00000002,000ffffd,21494
010008d4,00000003,000ffffd,21573
01000aa0,00000002,000ffffe,21883
01000ad4,00000002,000ffffe,22039
01000ac8,00000008,000ffffd,22842
01000868,00000006,00080053,23064
01000930,00000001,000ffffe,23443
010007d8,00000002,000ffffe,23876
010008ec,00000eca,000800b8,24300
010009c8,00000002,000ffffe,24332
01000998,00000005,000ffffd,24835
010008d4,00000003,000ffffd,25323
01000a64,00000004,000ffffd,25809
01000a30,00000004,000ffffd,26052
01000a98,00000004,000ffffd,26174
01000a6c,00000002,000ffffe,26473
01000a64,00000004,000ffffd,26626
010009bc,00000002,000ffffe,26700
01000930,00000001,000ffffe,27009
01000838,00000002,000ffffe,27405
010008f0,00000002,000ffffd,27603
0100091c,00000002,000ffffe,27974
01000930,00000001,000ffffe,28159
010009b4,00000001,000ffffe,28492
0100087c,0000002e,000005f1,28788
01000820,00000003,000ffffe,29059
01000a98,00000004,000ffffd,29457
01000af0,00000001,000ffffe,29653
01000a48,00000002,000ffffe,29754
01000a98,00000004,000ffffd,30046
01000ad4,00000002,000ffffe,30429
01000930,00000001,000ffffe,30621
01000970,00000002,000ffffe,30719
01000998,00000005,000ffffd,30771
01000884,00000002,000ffffe,30793
01000930,00000001,000ffffe,30805
01000980,00000002,000ffffe,30813
010009b4,00000001,000ffffe,30816
010009a4,00000002,000ffffe,31091
0100096c,0000000f,00080263,31513
0100082c,00000019,00080263,31728
010008b0,00000004,000800b1,31810
