00000370,00000001,000ffffd,18
01000aec,00000001,000ffffe,440
01000b18,00000009,00080041,519
01000b20,00000001,000ffffe,547
01000bb0,00000001,000ffffe,805
01000b04,00000001,000ffffe,1206
01000bf0,00000001,000ffffe,1407
01000bec,00000001,000ffffe,1508
01000bec,00000001,000ffffe,1559
01000ba4,00000001,000ffffe,1585
01000b0c,00000002,000ffffe,1871
01000bc8,00000001,000ffffe,2013
000009b4,00000002,000ffffe,2086
01000be0,00000703,00080040,2093
01000b0c,00000002,000ffffe,2394
01000bd0,00000001,000ffffe,2787
01000bec,00000001,000ffffe,3256
01000b84,0000001f,00080042,3521
01000b40,00000001,000ffffe,3609
01000bf0,00000001,000ffffe,3908
01000bd0,00000001,000ffffe,4058
01000bf4,00000001,000ffffe,4405
01000b98,00000001,000ffffe,4579
01000b1c,00000001,000ffffe,4906
01000b70,00000001,000ffffe,5070
01000bdc,00000002,000ffffe,5393
00000aa0,00000001,000ffffe,5825
01000b94,00000001,000ffffe,6042
01000b20,00000001,000ffffe,6151
01000bf0,00000001,000ffffe,6234
01000b84,0000002d,00080040,6250
01000b78,00000002,000ffffe,6521
01000b48,00000002,000ffffe,6936
01000ba8,00000001,000ffffe,7143
01000b40,00000001,000ffffe,7519
01000b04,00000001,000ffffe,7947
01000b20,00000001,000ffffe,8401
01000b40,00000001,000ffffe,8900
01000ba4,00000001,000ffffe,9150
01000bdc,00000002,000ffffe,9516
01000bec,00000001,000ffffe,9698
01000bf4,00000001,000ffffe,9790
01000b0c,00000002,000ffffe,10109
01000be4,00000001,000ffffe,10507
01000b8c,00000001,000ffffe,10707
01000b78,00000002,000ffffe,11080
01000b98,00000001,000ffffe,11505
01000bf4,00000001,000ffffe,11958
01000ba8,00000001,000ffffe,12185
01000b94,00000001,000ffffe,12299
01000ba0,00000001,000ffffe,12596
01000ba0,00000001,000ffffe,12745
01000ba8,00000001,000ffffe,12820
01000b78,00000002,000ffffe,12859
01000b40,00000001,000ffffe,13117
01000ba8,00000001,000ffffe,13247
01000b98,00000001,000ffffe,13584
01000b48,00000002,000ffffe,13754
01000bb0,00000001,000ffffe,13838
01000ba4,00000001,000ffffe,13881
01000bec,00000001,000ffffe,13903
01000b8c,00000001,000ffffe,14186
01000b40,00000001,000ffffe,14328
01000bf0,00000001,000ffffe,14671
01000bd0,00000001,000ffffe,14843
01000b48,00000002,000ffffe,15170
01000b98,00000001,000ffffe,15604
01000b78,00000002,000ffffe,15823
01000be4,00000001,000ffffe,16203
01000b48,00000002,000ffffe,16395
01000ba0,00000001,000ffffe,16490
01000b70,00000001,000ffffe,16810
01000aec,00000001,000ffffe,17210
01000aec,00000001,000ffffe,17682
01000b28,00000001,000ffffe,18190
01000bc8,00000001,000ffffe,18684
01000b70,00000001,000ffffe,19171
01000bd0,00000001,000ffffe,19415
01000ba8,00000001,000ffffe,19777
01000b98,00000001,000ffffe,20198
01000b48,00000002,000ffffe,20410
01000bf0,00000001,000ffffe,20515
01000bf4,00000001,000ffffe,20808
01000aec,00000001,000ffffe,20955
01000b04,00000001,000ffffe,21029
01000b98,00000001,000ffffe,21338
01000b70,00000001,000ffffe,21493
01000b98,00000001,000ffffe,21571
01000b40,00000001,000ffffe,21882
01000ba0,00000001,000ffffe,22038
01000b98,00000001,000ffffe,22388
01000b70,00000001,000ffffe,22835
01000b98,00000001,000ffffe,23059
01000ba4,00000001,000ffffe,23443
01000aec,00000001,000ffffe,23875
01000b98,00000001,000ffffe,24331
01000ba8,00000001,000ffffe,24831
01000b94,00000001,000ffffe,25321
01000ba0,00000001,000ffffe,25806
01000b84,00000049,0008005d,26121
01000ba0,00000001,000ffffe,26171
01000b78,00000002,000ffffe,26473
01000ba0,00000001,000ffffe,26623
01000b28,00000001,000ffffe,26699
000009fc,0000000e,00080065,27022
01000b54,0000000e,00080065,27417
01000ba8,00000001,000ffffe,27602
01000b8c,00000001,000ffffe,27973
01000b78,00000002,000ffffe,28160
01000b70,00000001,000ffffe,28492
01000ba4,00000001,000ffffe,28659
01000b94,00000001,000ffffe,28743
01000b54,0000000e,00080065,29070
01000b98,00000001,000ffffe,29454
01000bf0,00000001,000ffffe,29653
01000b54,0000000e,00080065,29766
01000b58,00000001,000ffffe,30043
01000ba8,00000001,000ffffe,30428
01000b40,00000001,000ffffe,30621
01000ba0,00000001,000ffffe,30718
01000b58,00000001,000ffffe,30767
01000ba4,00000001,000ffffe,30792
01000ba0,00000001,000ffffe,30805
01000b58,00000001,000ffffe,30812
01000b8c,00000001,000ffffe,30816
01000b84,00000057,00080052,31176
01000b94,00000001,000ffffe,31499
01000ba4,00000001,000ffffe,31704
01000b28,00000001,000ffffe,31807
01000b84,00000057,0008004b,31945
01000ba4,00000001,000ffffe,32125
01000b1c,00000001,000ffffe,32530
01000ba0,00000001,000ffffe,32733
01000ba4,00000001,000ffffe,32835
01000bb0,00000001,000ffffe,33126
01000b28,00000001,000ffffe,33272
01000ba0,00000001,000ffffe,33617
01000b98,00000001,000ffffe,33790
01000b98,00000001,000ffffe,33877
01000b18,0000004f,0008006a,33999
01000b1c,00000001,000ffffe,34183
01000b94,00000001,000ffffe,34586
01000aec,00000001,000ffffe,34788
01000b54,0000000e,00080065,35174
01000b48,00000002,000ffffe,35349
01000b94,00000001,000ffffe,35442
01000b8c,00000001,000ffffe,35761
01000b0c,00000002,000ffffe,35922
01000ba4,00000001,000ffffe,36273
01000ba0,00000001,000ffffe,36721
00000a34,00000001,000ffffe,37185
01000be0,00000008,0008006d,37696
01000b70,00000001,000ffffe,38181
01000b28,00000001,000ffffe,38667
01000b78,00000002,000ffffe,39151
01000b58,00000001,000ffffe,39392
01000b54,0000000e,0008006d,39766
01000b98,00000001,000ffffe,39934
01000b28,00000001,000ffffe,40025
01000b58,00000001,000ffffe,40071
01000b78,00000002,000ffffe,40335
01000b94,00000001,000ffffe,40466
01000b48,00000002,000ffffe,40805
01000b8c,00000001,000ffffe,41245
01000ba8,00000001,000ffffe,41466
01000b94,00000001,000ffffe,41577
01000aec,00000001,000ffffe,41633
01000b48,00000002,000ffffe,41902
01000b58,00000001,000ffffe,42307
01000b48,00000002,000ffffe,42783
01000b98,00000001,000ffffe,43020
01000b84,00000065,0008004b,43479
01000ba8,00000001,000ffffe,43559
01000ba4,00000001,000ffffe,43889
01000b54,0000000e,0008006d,44339
01000b78,00000002,000ffffe,44546
01000bc8,00000001,000ffffe,44655
01000b84,00000065,0008006a,45050
01000b94,00000001,000ffffe,45098
01000b98,00000001,000ffffe,45444
01000b78,00000002,000ffffe,45890
01000ba8,00000001,000ffffe,46112
01000b98,00000001,000ffffe,46224
01000b54,0000000e,0008006d,46533
01000b40,00000001,000ffffe,46908
01000b84,00000065,0008006c,47979
01000ba8,00000001,000ffffe,48132
01000ba0,00000001,000ffffe,48259
01000b48,00000002,000ffffe,48324
01000bd0,00000001,000ffffe,48595
